pulse,snr,sir,alpha,L,joint,ber05,ber10,ber20,ber25
\bfseries RC,15.0,10.0,0.22,6,False,3.43e-07,4.77e-07,1.66e-06,3.97e-06
\bfseries BTRC,15.0,10.0,0.22,6,False,3.44e-07,4.83e-07,1.74e-06,4.23e-06
\bfseries ELP,15.0,10.0,0.22,6,False,3.48e-07,5.01e-07,1.98e-06,5.10e-06
\bfseries IPLCP,15.0,10.0,0.22,6,False,3.28e-07,3.98e-07,8.36e-07,1.42e-06
\bfseries RC,15.0,10.0,0.35,6,False,3.45e-07,4.85e-07,1.77e-06,4.35e-06
\bfseries BTRC,15.0,10.0,0.35,6,False,3.48e-07,5.01e-07,1.98e-06,5.11e-06
\bfseries ELP,15.0,10.0,0.35,6,False,3.50e-07,5.16e-07,2.21e-06,5.97e-06
\bfseries IPLCP,15.0,10.0,0.35,6,False,3.28e-07,3.98e-07,8.36e-07,1.42e-06
\bfseries RC,15.0,10.0,0.50,6,False,3.48e-07,5.00e-07,1.97e-06,5.09e-06
\bfseries BTRC,15.0,10.0,0.50,6,False,3.53e-07,5.33e-07,2.47e-06,7.03e-06
\bfseries ELP,15.0,10.0,0.50,6,False,3.55e-07,5.45e-07,2.67e-06,7.80e-06
\bfseries IPLCP,15.0,10.0,0.50,6,False,3.28e-07,3.98e-07,8.36e-07,1.42e-06
