pulse,snr,sir,alpha,L,joint,ber05,ber10,ber20,ber25
\bfseries RC,15.0,20.0,0.22,2,False,1.26e-08,1.88e-08,8.69e-08,2.53e-07
\bfseries BTRC,15.0,20.0,0.22,2,False,1.26e-08,1.91e-08,9.17e-08,2.74e-07
\bfseries ELP,15.0,20.0,0.22,2,False,1.28e-08,1.99e-08,1.08e-07,3.45e-07
\bfseries IPLCP,15.0,20.0,0.22,2,False,1.19e-08,1.50e-08,3.74e-08,7.16e-08
\bfseries RC,15.0,20.0,0.35,2,False,1.26e-08,1.92e-08,9.39e-08,2.84e-07
\bfseries BTRC,15.0,20.0,0.35,2,False,1.28e-08,1.99e-08,1.08e-07,3.46e-07
\bfseries ELP,15.0,20.0,0.35,2,False,1.29e-08,2.07e-08,1.23e-07,4.19e-07
\bfseries IPLCP,15.0,20.0,0.35,2,False,1.19e-08,1.50e-08,3.74e-08,7.16e-08
\bfseries RC,15.0,20.0,0.50,2,False,1.28e-08,1.99e-08,1.07e-07,3.44e-07
\bfseries BTRC,15.0,20.0,0.50,2,False,1.30e-08,2.15e-08,1.42e-07,5.12e-07
\bfseries ELP,15.0,20.0,0.50,2,False,1.31e-08,2.21e-08,1.55e-07,5.82e-07
\bfseries IPLCP,15.0,20.0,0.50,2,False,1.19e-08,1.50e-08,3.74e-08,7.16e-08
