pulse,snr,sir,alpha,L,joint,ber05,ber10,ber20,ber25
\bfseries RC,15.0,10.0,0.22,2,False,3.96e-08,5.78e-08,2.43e-07,6.63e-07
\bfseries BTRC,15.0,10.0,0.22,2,False,3.97e-08,5.86e-08,2.56e-07,7.14e-07
\bfseries ELP,15.0,10.0,0.22,2,False,4.02e-08,6.11e-08,2.97e-07,8.86e-07
\bfseries IPLCP,15.0,10.0,0.22,2,False,3.75e-08,4.69e-08,1.10e-07,2.03e-07
\bfseries RC,15.0,10.0,0.35,2,False,3.98e-08,5.90e-08,2.62e-07,7.37e-07
\bfseries BTRC,15.0,10.0,0.35,2,False,4.02e-08,6.11e-08,2.98e-07,8.88e-07
\bfseries ELP,15.0,10.0,0.35,2,False,4.05e-08,6.33e-08,3.38e-07,1.06e-06
\bfseries IPLCP,15.0,10.0,0.35,2,False,3.75e-08,4.69e-08,1.10e-07,2.03e-07
\bfseries RC,15.0,10.0,0.50,2,False,4.02e-08,6.11e-08,2.97e-07,8.83e-07
\bfseries BTRC,15.0,10.0,0.50,2,False,4.09e-08,6.57e-08,3.85e-07,1.28e-06
\bfseries ELP,15.0,10.0,0.50,2,False,4.12e-08,6.73e-08,4.19e-07,1.45e-06
\bfseries IPLCP,15.0,10.0,0.50,2,False,3.75e-08,4.69e-08,1.10e-07,2.03e-07
