pulse,snr,sir,alpha,L,trunc,joint,ber05,ber10,ber20,ber25
RC,15.0,15.0,0.22,6,5,False,2.657349471024695e-07,7.209807736774376e-06,0.0015996488727977876,0.009240946729921096
BTRC,15.0,15.0,0.22,6,5,False,1.9930566308445918e-07,3.739180382267282e-06,0.0006946103833048167,0.004717399944830503
ELP,15.0,15.0,0.22,6,5,False,1.319145832012758e-07,1.4791534537761386e-06,0.00018711707403534783,0.0014495028224556505
IPLCP,15.0,15.0,0.22,6,5,False,4.974319639527991e-08,1.1923464093843705e-07,1.8278017561712545e-06,9.283628700229585e-06
RC,15.0,15.0,0.22,6,10,False,2.664062894175423e-07,7.253879022395271e-06,0.0016099210594409663,0.009280256667354603
BTRC,15.0,15.0,0.22,6,10,False,2.0158170749295934e-07,3.859734445110785e-06,0.0007279497814738911,0.004895379410912337
ELP,15.0,15.0,0.22,6,10,False,1.3191460196404492e-07,1.4791540899339317e-06,0.00018711721757985744,0.0014495038196611354
IPLCP,15.0,15.0,0.22,6,10,False,4.974319639527991e-08,1.1923464093843705e-07,1.8278017561712545e-06,9.283628700229585e-06
